id,cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,pow_max,churn,tenure,months_activ,months_to_end,months_modif_prod,months_renewal,channel_epu,channel_ewp,channel_fix,channel_foo,channel_lmk,channel_sdd,channel_usi,origin_ewx,origin_kam,origin_ldk,origin_lxi,origin_nul,origin_usa,activity_apd,activity_ckf,activity_clu,activity_cwo,activity_fmw,activity_kkk,activity_kwu,activity_sfi,activity_wxe
48ada52261e7cf58715202705a0451c9,5.49034622,0,4.0011277,4.423594808,0,2.556652208,0.095919,0.088347,58.99595196,0,2.920540717,41.76,41.76,1,200.3810058,18.40291184,stayed,3,37,10,37,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24011ae4ebbe3035111d65fa7c15bc57,4.325648849,4.739943986,0,3.084340933,0,0.444044796,0.114481,0.098142,40.606701,1,0,25.44,25.44,2,678.99,43.648,churned,3,30,5,2,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d29c2c54acc38ff3c0614d0a653813dd,3.668479103,0,0,2.280919663,0,1.237292338,0.145711,0,44.31137796,0,0,16.38,16.38,1,18.89,13.8,stayed,7,76,7,76,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
764c75f661154dac3a6c254cd082ea7d,2.736396502,0,0,1.689841409,0,1.59900924,0.165794,0.087899,44.31137796,0,0,28.6,28.6,1,6.6,13.856,stayed,6,68,3,68,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bba03439a292a1e166f80264c16191cb,3.200029267,0,0,2.382089119,0,1.31868927,0.146694,0,44.31137796,0,0,30.22,30.22,1,25.46,13.2,stayed,6,69,2,69,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
568bb38a1afd7c0fc49c77b3789b59a3,5.083989674,0,4.093456707,4.0360705,0,2.234871459,0.110083,0.093746,40.606701,0,3.022580945,3.18,3.18,1,823.18,75,stayed,6,68,3,68,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
149d57cf92fc41cf94415803a877cb4b,3.64601141,0,2.721810615,2.650064561,0,2.122969094,0.1169,0.100015,40.606701,0,1.726890141,44.91,44.91,1,47.98,19.8,stayed,6,71,2,71,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1aa498825382410b098937d65c4ec26d,3.919235038,0,3.300812794,2.901970236,0,1.493039588,0.164775,0.086131,45.30837756,0,2.260572208,33.12,33.12,1,118.89,13.2,churned,5,48,11,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7ab4bf4878d8f7661dfc20e9b8e18011,4.654157282,0,0,3.906888603,0,0,0.166178,0.087538,44.31137796,0,0,4.04,4.04,1,346.63,15,churned,5,48,11,48,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01495c955be7ec5e7f3203406785aae0,4.470601574,0,3.100715087,2.937382467,0,2.162833144,0.115174,0.098837,40.606701,0,1.855094951,53.92,53.92,1,100.09,26.4,stayed,6,68,3,68,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
f53a254b1115634330c12c7fdbf7958a,3.471731651,0,0,2.648730711,0,1.226599905,0.145711,0,44.31137796,0,0,12.82,12.82,1,42.59,13.2,stayed,5,51,8,51,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10c1b2f97a2d2a6f10299dc213d1a370,4.416057729,0,3.340245762,3.437607888,0,2.118694508,0.115761,0.099419,40.606701,0,2.343585821,33.42,33.42,1,329.6,31.5,stayed,6,67,4,8,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d5e512dbc8118a830a7b8c7f61d89992,4.034708651,0,3.493179121,3.081196035,0,1.341236623,0.164637,0.087381,44.31137796,0,2.54466324,14.52,14.52,1,108.5,11.5,stayed,5,53,6,53,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6ee77a019251bcc304c88167e0dfcb4c,3.647676313,0,3.396199347,2.750477538,0,1.33243846,0.167086,0.088444,46.30537836,0,2.490534346,21.09,21.09,1,18.41,10.392,stayed,7,73,10,73,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
